Relatório de faturamento por NCM no período entre 1/12/2018 e 31/12/2018

Produto|Descrição|Nota|Tipo nota|CFOP|NCM|QTD|Valor item|Base PIS|% PIS|PIS|Base COFINS|% COFINS|COFINS|

 NCM: 90183219
100507|AGULHA DE PUNCAO 18GX07CM SCITECH|164,00|SAIDA|6102|90183219|1|8,63|0,00|0,00|0,00|0,00|0,00|0,00
100507|AGULHA DE PUNCAO 18GX07CM SCITECH|186,00|SAIDA|5102|90183219|1|28,00|0,00|0,00|0,00|0,00|0,00|0,00
100507|AGULHA DE PUNCAO 18GX07CM SCITECH|204,00|SAIDA|6102|90183219|1|8,63|0,00|0,00|0,00|0,00|0,00|0,00
100507|AGULHA DE PUNCAO 18GX07CM SCITECH|217,00|SAIDA|5102|90183219|1|28,00|0,00|0,00|0,00|0,00|0,00|0,00
100507|AGULHA DE PUNCAO 18GX07CM SCITECH|218,00|SAIDA|5102|90183219|1|28,00|0,00|0,00|0,00|0,00|0,00|0,00
|||||||101,26|0|||0

 NCM: 90183910
G00012|DCHN-22-15.0 AGULHA DE BIOPSIA CHIBA|140,00|SAIDA|6102|90183910|1|97,37|0,00|0,00|0,00|0,00|0,00|0,00
G00166|SDN-18-7.0 AGULHA DE PUNCAO|140,00|SAIDA|6102|90183910|3|32,82|0,00|0,00|0,00|0,00|0,00|0,00
G03388|DLPN-40-25-RING AGULHA ACESSO RING|140,00|SAIDA|6102|90183910|1|361,39|0,00|0,00|0,00|0,00|0,00|0,00
G00012|DCHN-22-15.0 AGULHA DE BIOPSIA CHIBA|149,00|SAIDA|5102|90183910|1|180,00|0,00|0,00|0,00|0,00|0,00|0,00
G00777|DCHN-20-15.0 AGULHA DE BIOPSIA CHIBA|163,00|SAIDA|5102|90183910|1|197,00|0,00|0,00|0,00|0,00|0,00|0,00
G00777|DCHN-20-15.0 AGULHA DE BIOPSIA CHIBA|163,00|SAIDA|5102|90183910|1|197,00|0,00|0,00|0,00|0,00|0,00|0,00
G00777|DCHN-20-15.0 AGULHA DE BIOPSIA CHIBA|163,00|SAIDA|5102|90183910|1|197,00|0,00|0,00|0,00|0,00|0,00|0,00
G08790|QCS-18-15.0-20T CONJ DE AGULHA DE BIOPSIA QUICK CORE|192,00|SAIDA|6102|90183910|1|1360,00|0,00|0,00|0,00|0,00|0,00|0,00
